"00-0022"
"00-0048"
"00-0077"
"00-0199"
"00-0216"
"00-0261"
"00-0287"
"00-0480"
"00-0548"
"00-0549"
"00-0726"
"00-0759"
"00-0760"
"00-0762"
"00-0764"
"00-0765"
"00-0767"
"00-0769"
"00-0770"
"00-0771"
"00-0786"
"00-0787"
"00-1197"
"00-1237"
"00-1292"
"00-1308"
"00-1325"
"00-1330"
"00-1331"
"00-NA"
"01-9003"
"02-2327"
"03-0002"
"03-0003"
"03-0005"
"03-0006"
"03-0014"
"03-0016"
"03-0017"
"03-0020"
"03-0021"
"03-0022"
"03-0024"
"03-0025"
"03-0028"
"03-0029"
"03-0030"
"03-0031"
"03-0032"
"03-0034"
"03-0036"
"03-0037"
"03-0038"
"03-0039"
"03-0040"
"03-0041"
"03-0043"
"03-0057"
"03-0058"
"03-0061"
"03-0063"
"03-0065"
"03-0066"
"03-0100"
"03-0102"
"03-0111"
"03-0112"
"03-0123"
"03-0130"
"03-0132"
"03-0141"
"03-0142"
"03-0149"
"03-0163"
"03-0164"
"03-0170"
"03-0200"
"03-0207"
"03-0208"
"03-0211"
"03-0215"
"03-0216"
"03-0218"
"03-0223"
"03-0250"
"03-0260"
"03-0261"
"03-0271"
"03-0307"
"03-0316"
"03-0322"
"03-0332"
"03-0338"
"03-0361"
"03-0390"
"03-0391"
"03-0398"
"03-0410"
"03-0422"
"03-0438"
"03-0440"
"03-0451"
"03-0456"
"03-0460"
"03-0461"
"03-0463"
"03-0467"
"03-0468"
"03-0469"
"03-0470"
"03-0471"
"03-0472"
"03-0473"
"03-0474"
"03-0481"
"03-0494"
"03-0495"
"03-0502"
"03-0508"
"03-0510"
"03-0512"
"03-0513"
"03-0514"
"03-0524"
"03-0543"
"03-0562"
"03-0570"
"03-0756"
"03-0778"
"03-0782"
"03-0912"
"03-1090"
"03-1309"
"03-1325"
"03-1330"
"03-1398"
"03-1400"
"03-1405"
"03-1409"
"03-1410"
"03-1411"
"03-1415"
"03-1419"
"03-1420"
"03-1437"
"03-1441"
"03-1498"
"03-1524"
"03-1530"
"03-1559"
"03-1561"
"03-1566"
"03-1568"
"03-1612"
"03-1616"
"03-1620"
"03-1651"
"03-1663"
"03-1664"
"03-1680"
"03-1689"
"03-1690"
"03-1698"
"03-1701"
"03-1762"
"03-1769"
"03-1790"
"03-1804"
"03-1815"
"03-1819"
"03-1887"
"03-1888"
"03-1900"
"03-1911"
"03-2002"
"03-2003"
"03-2004"
"03-2005"
"03-2006"
"03-2007"
"03-2010"
"03-2011"
"03-2311"
"03-2322"
"03-2327"
"03-2329"
"03-2332"
"03-2422"
"03-2541"
"03-3093"
"03-3237"
"03-4100"
"03-4200"
"03-NA"
"04-0055"
"04-0253"
"05-0023"
"05-0050"
"05-NA"
"06-0100"
"06-0281"
"06-0311"
"06-NA"
"08-0021"
"08-0022"
"08-0023"
"08-0070"
"08-0120"
"08-NA"
"09-0021"
"09-0027"
"09-0028"
"09-0029"
"09-0032"
"09-0033"
"09-0037"
"09-0039"
"09-0040"
"09-0046"
"09-0048"
"09-0049"
"09-0214"
"09-NA"
"10-NA"
"11-0002"
"11-0004"
"11-0030"
"11-NA"
"13-0494"
"132-NA"
"14-0023"
"14-NA"
"1400-NA"
"15-0043"
"15-0123"
"15-0183"
"15-0185"
"15-0233"
"15-0280"
"15-0285"
"15-0306"
"15-0310"
"15-0312"
"15-0313"
"15-0446"
"15-0484"
"15-0494"
"15-0534"
"15-0555"
"15-0563"
"15-9000"
"15-NA"
"16-0001"
"16-0012"
"16-0016"
"16-0022"
"16-0024"
"16-0054"
"16-0093"
"16-0120"
"16-0180"
"16-0192"
"16-0200"
"16-0202"
"16-0203"
"16-0204"
"16-0205"
"16-0207"
"16-0218"
"16-0244"
"16-0260"
"16-0265"
"16-0280"
"16-0300"
"16-0301"
"16-0302"
"16-0304"
"16-0305"
